"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"packetTypes","packetTypes","r","[Ljava/lang/Class;","[Ljava/lang/Class;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"size","size","p","I","I","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"LOST_CONNECTION","LOST_CONNECTION","o","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"counter","counter","s","I","I","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"packetType","packetType","q","B","B","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"PLAYER_JOIN","PLAYER_JOIN","h","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"SET_TILE","SET_TILE","g","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"PLAYER_MOVE_AND_ROTATE","PLAYER_MOVE_AND_ROTATE","j","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"PLAYER_TELEPORT","PLAYER_TELEPORT","i","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"PLAYER_ROTATE","PLAYER_ROTATE","l","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"packets","packets","a","[Lcom/mojang/minecraft/net/Packet;","[Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"PLAYER_MOVE","PLAYER_MOVE","k","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"CHAT_MESSAGE","CHAT_MESSAGE","n","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"PLAYER_DISCONNECT","PLAYER_DISCONNECT","m","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"LOGIN","LOGIN","b","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"LOADING_PROGRESS","LOADING_PROGRESS","d","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"LOAD_LEVEL","LOAD_LEVEL","c","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"PLACE_OR_REMOVE_BLOCK","PLACE_OR_REMOVE_BLOCK","f","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"LEVEL_BLOCKS","LEVEL_BLOCKS","e","Lcom/mojang/minecraft/net/Packet;","Lcom/mojang/minecraft/net/a;","com/mojang/minecraft/net/Packet","com/mojang/minecraft/net/a","com/mojang/minecraft/net","0"
"title","title","f","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/gui/NameLevelScreen","com/mojang/minecraft/b/a","com/mojang/minecraft/gui","0"
"name","name","h","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/gui/NameLevelScreen","com/mojang/minecraft/b/a","com/mojang/minecraft/gui","0"
"counter","counter","i","I","I","com/mojang/minecraft/gui/NameLevelScreen","com/mojang/minecraft/b/a","com/mojang/minecraft/gui","0"
"parent","parent","e","Lcom/mojang/minecraft/gui/Screen;","Lcom/mojang/minecraft/b/d;","com/mojang/minecraft/gui/NameLevelScreen","com/mojang/minecraft/b/a","com/mojang/minecraft/gui","0"
"id","id","g","I","I","com/mojang/minecraft/gui/NameLevelScreen","com/mojang/minecraft/b/a","com/mojang/minecraft/gui","0"
"xRot","xRot","e","F","F","com/mojang/minecraft/net/PlayerMove","com/mojang/minecraft/net/b","com/mojang/minecraft/net","0"
"rotating","rotating","f","Z","Z","com/mojang/minecraft/net/PlayerMove","com/mojang/minecraft/net/b","com/mojang/minecraft/net","0"
"yp","yp","b","F","F","com/mojang/minecraft/net/PlayerMove","com/mojang/minecraft/net/b","com/mojang/minecraft/net","0"
"xp","xp","a","F","F","com/mojang/minecraft/net/PlayerMove","com/mojang/minecraft/net/b","com/mojang/minecraft/net","0"
"yRot","yRot","d","F","F","com/mojang/minecraft/net/PlayerMove","com/mojang/minecraft/net/b","com/mojang/minecraft/net","0"
"moving","moving","g","Z","Z","com/mojang/minecraft/net/PlayerMove","com/mojang/minecraft/net/b","com/mojang/minecraft/net","0"
"zp","zp","c","F","F","com/mojang/minecraft/net/PlayerMove","com/mojang/minecraft/net/b","com/mojang/minecraft/net","0"
"counter","counter","f","I","I","com/mojang/minecraft/gui/ChatScreen","com/mojang/minecraft/b/b","com/mojang/minecraft/gui","0"
"typedMsg","typedMsg","e","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/gui/ChatScreen","com/mojang/minecraft/b/b","com/mojang/minecraft/gui","0"
"h","h","d","I","I","com/mojang/minecraft/gui/Button","com/mojang/minecraft/b/e","com/mojang/minecraft/gui","0"
"visible","visible","h","Z","Z","com/mojang/minecraft/gui/Button","com/mojang/minecraft/b/e","com/mojang/minecraft/gui","0"
"enabled","enabled","g","Z","Z","com/mojang/minecraft/gui/Button","com/mojang/minecraft/b/e","com/mojang/minecraft/gui","0"
"id","id","f","I","I","com/mojang/minecraft/gui/Button","com/mojang/minecraft/b/e","com/mojang/minecraft/gui","0"
"x","x","a","I","I","com/mojang/minecraft/gui/Button","com/mojang/minecraft/b/e","com/mojang/minecraft/gui","0"
"w","w","c","I","I","com/mojang/minecraft/gui/Button","com/mojang/minecraft/b/e","com/mojang/minecraft/gui","0"
"y","y","b","I","I","com/mojang/minecraft/gui/Button","com/mojang/minecraft/b/e","com/mojang/minecraft/gui","0"
"msg","msg","e","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/gui/Button","com/mojang/minecraft/b/e","com/mojang/minecraft/gui","0"
"w","w","c","I","I","com/mojang/minecraft/gui/Screen","com/mojang/minecraft/b/d","com/mojang/minecraft/gui","0"
"buttons","buttons","d","Ljava/util/List;","Ljava/util/List;","com/mojang/minecraft/gui/Screen","com/mojang/minecraft/b/d","com/mojang/minecraft/gui","0"
"y","y","b","I","I","com/mojang/minecraft/gui/Screen","com/mojang/minecraft/b/d","com/mojang/minecraft/gui","0"
"minecraft","minecraft","a","Lcom/mojang/minecraft/Minecraft;","Lcom/mojang/minecraft/d;","com/mojang/minecraft/gui/Screen","com/mojang/minecraft/b/d","com/mojang/minecraft/gui","0"
"loaded","loaded","h","Z","Z","com/mojang/minecraft/gui/LoadLevelScreen","com/mojang/minecraft/b/g","com/mojang/minecraft/gui","0"
"parent","parent","f","Lcom/mojang/minecraft/gui/Screen;","Lcom/mojang/minecraft/b/d;","com/mojang/minecraft/gui/LoadLevelScreen","com/mojang/minecraft/b/g","com/mojang/minecraft/gui","0"
"finished","finished","g","Z","Z","com/mojang/minecraft/gui/LoadLevelScreen","com/mojang/minecraft/b/g","com/mojang/minecraft/gui","0"
"levels","levels","i","[Ljava/lang/String;","[Ljava/lang/String;","com/mojang/minecraft/gui/LoadLevelScreen","com/mojang/minecraft/b/g","com/mojang/minecraft/gui","0"
"title","title","e","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/gui/LoadLevelScreen","com/mojang/minecraft/b/g","com/mojang/minecraft/gui","0"
"status","status","j","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/gui/LoadLevelScreen","com/mojang/minecraft/b/g","com/mojang/minecraft/gui","0"
"parent","parent","e","Lcom/mojang/minecraft/gui/Screen;","Lcom/mojang/minecraft/b/d;","com/mojang/minecraft/gui/NewLevelScreen","com/mojang/minecraft/b/f","com/mojang/minecraft/gui","0"
"title","title","e","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/gui/ErrorScreen","com/mojang/minecraft/b/h","com/mojang/minecraft/gui","0"
"desc","desc","f","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/gui/ErrorScreen","com/mojang/minecraft/b/h","com/mojang/minecraft/gui","0"
"charWidths","charWidths","a","[I","[I","com/mojang/minecraft/gui/Font","com/mojang/minecraft/b/j","com/mojang/minecraft/gui","0"
"fontTexture","fontTexture","b","I","I","com/mojang/minecraft/gui/Font","com/mojang/minecraft/b/j","com/mojang/minecraft/gui","0"
"xSpawn","xSpawn","xSpawn","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"randValue","randValue","d","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"blocks","blocks","blocks","[B","[B","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"heightMap","heightMap","b","[I","[I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"entities","entities","entities","Ljava/util/ArrayList;","Ljava/util/ArrayList;","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"levelListeners","levelListeners","a","Ljava/util/ArrayList;","Ljava/util/ArrayList;","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"serialVersionUID","serialVersionUID","serialVersionUID","J","J","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"unprocessed","unprocessed","unprocessed","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"zSpawn","zSpawn","zSpawn","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"tickList","tickList","e","Ljava/util/ArrayList;","Ljava/util/ArrayList;","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"createTime","createTime","createTime","J","J","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"random","random","c","Ljava/util/Random;","Ljava/util/Random;","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"rotSpawn","rotSpawn","rotSpawn","F","F","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"width","width","width","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"ySpawn","ySpawn","ySpawn","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"depth","depth","depth","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"tickCount","tickCount","tickCount","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"height","height","height","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"creator","creator","creator","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"name","name","name","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/level/Level","com/mojang/minecraft/level/Level","com/mojang/minecraft/level","0"
"socket","socket","f","Ljava/net/Socket;","Ljava/net/Socket;","com/mojang/network/NetHandler","com/mojang/a/a","com/mojang/network","0"
"stringPacket","stringPacket","h","[B","[B","com/mojang/network/NetHandler","com/mojang/a/a","com/mojang/network","0"
"processedData","processedData","c","Ljava/nio/ByteBuffer;","Ljava/nio/ByteBuffer;","com/mojang/network/NetHandler","com/mojang/a/a","com/mojang/network","0"
"initialized","initialized","g","Z","Z","com/mojang/network/NetHandler","com/mojang/a/a","com/mojang/network","0"
"clientHandler","clientHandler","e","Lcom/mojang/minecraft/net/NetClientHandler;","Lcom/mojang/minecraft/net/c;","com/mojang/network/NetHandler","com/mojang/a/a","com/mojang/network","0"
"packetBuffer","packetBuffer","d","Ljava/nio/ByteBuffer;","Ljava/nio/ByteBuffer;","com/mojang/network/NetHandler","com/mojang/a/a","com/mojang/network","0"
"socketChannel","socketChannel","b","Ljava/nio/channels/SocketChannel;","Ljava/nio/channels/SocketChannel;","com/mojang/network/NetHandler","com/mojang/a/a","com/mojang/network","0"
"connected","connected","a","Z","Z","com/mojang/network/NetHandler","com/mojang/a/a","com/mojang/network","0"
"moveForward","moveForward","b","F","F","com/mojang/minecraft/player/MovementInput","com/mojang/minecraft/player/a","com/mojang/minecraft/player","0"
"jump","jump","c","Z","Z","com/mojang/minecraft/player/MovementInput","com/mojang/minecraft/player/a","com/mojang/minecraft/player","0"
"jumpHeld","jumpHeld","d","Z","Z","com/mojang/minecraft/player/MovementInput","com/mojang/minecraft/player/a","com/mojang/minecraft/player","0"
"moveStrafe","moveStrafe","a","F","F","com/mojang/minecraft/player/MovementInput","com/mojang/minecraft/player/a","com/mojang/minecraft/player","0"
"keys","keys","e","[Z","[Z","com/mojang/minecraft/player/MovementInputFromOptions","com/mojang/minecraft/player/b","com/mojang/minecraft/player","0"
"p","p","a","[I","[I","com/mojang/minecraft/level/levelgen/synth/ImprovedNoise","com/mojang/minecraft/level/b/a/d","com/mojang/minecraft/level/levelgen/synth","0"
"serialVersionUID","serialVersionUID","serialVersionUID","J","J","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys","0"
"epsilon","epsilon","epsilon","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys","0"
"z1","z1","z1","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys","0"
"y0","y0","y0","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys","0"
"z0","z0","z0","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys","0"
"x1","x1","x1","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys","0"
"y1","y1","y1","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys","0"
"x0","x0","x0","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/phys","0"
"source","source","a","Lcom/mojang/minecraft/level/levelgen/synth/Synth;","Lcom/mojang/minecraft/level/b/a/c;","com/mojang/minecraft/level/levelgen/synth/Distort","com/mojang/minecraft/level/b/a/b","com/mojang/minecraft/level/levelgen/synth","0"
"distort","distort","b","Lcom/mojang/minecraft/level/levelgen/synth/Synth;","Lcom/mojang/minecraft/level/b/a/c;","com/mojang/minecraft/level/levelgen/synth/Distort","com/mojang/minecraft/level/b/a/b","com/mojang/minecraft/level/levelgen/synth","0"
"levels","levels","b","I","I","com/mojang/minecraft/level/levelgen/synth/PerlinNoise","com/mojang/minecraft/level/b/a/a","com/mojang/minecraft/level/levelgen/synth","0"
"noiseLevels","noiseLevels","a","[Lcom/mojang/minecraft/level/levelgen/synth/ImprovedNoise;","[Lcom/mojang/minecraft/level/b/a/d;","com/mojang/minecraft/level/levelgen/synth/PerlinNoise","com/mojang/minecraft/level/b/a/a","com/mojang/minecraft/level/levelgen/synth","0"
"scheduledTime","scheduledTime","e","I","I","com/mojang/minecraft/level/Coord","com/mojang/minecraft/level/b","com/mojang/minecraft/level","0"
"id","id","d","I","I","com/mojang/minecraft/level/Coord","com/mojang/minecraft/level/b","com/mojang/minecraft/level","0"
"z","z","c","I","I","com/mojang/minecraft/level/Coord","com/mojang/minecraft/level/b","com/mojang/minecraft/level","0"
"y","y","b","I","I","com/mojang/minecraft/level/Coord","com/mojang/minecraft/level/b","com/mojang/minecraft/level","0"
"x","x","a","I","I","com/mojang/minecraft/level/Coord","com/mojang/minecraft/level/b","com/mojang/minecraft/level","0"
"lava","lava","c","Lcom/mojang/minecraft/level/material/Material;","Lcom/mojang/minecraft/level/c/a;","com/mojang/minecraft/level/material/Material","com/mojang/minecraft/level/c/a","com/mojang/minecraft/level/material","0"
"air","air","a","Lcom/mojang/minecraft/level/material/Material;","Lcom/mojang/minecraft/level/c/a;","com/mojang/minecraft/level/material/Material","com/mojang/minecraft/level/c/a","com/mojang/minecraft/level/material","0"
"water","water","b","Lcom/mojang/minecraft/level/material/Material;","Lcom/mojang/minecraft/level/c/a;","com/mojang/minecraft/level/material/Material","com/mojang/minecraft/level/c/a","com/mojang/minecraft/level/material","0"
"materials","materials","d","[Lcom/mojang/minecraft/level/material/Material;","[Lcom/mojang/minecraft/level/c/a;","com/mojang/minecraft/level/material/Material","com/mojang/minecraft/level/c/a","com/mojang/minecraft/level/material","0"
"player","player","a","Lcom/mojang/minecraft/player/Player;","Lcom/mojang/minecraft/player/Player;","com/mojang/minecraft/renderer/DirtyChunkSorter","com/mojang/minecraft/a/b","com/mojang/minecraft/renderer","0"
"canvas","canvas","canvas","Ljava/awt/Canvas;","Ljava/awt/Canvas;","com/mojang/minecraft/MinecraftApplet","com/mojang/minecraft/MinecraftApplet","com/mojang/minecraft","0"
"thread","thread","thread","Ljava/lang/Thread;","Ljava/lang/Thread;","com/mojang/minecraft/MinecraftApplet","com/mojang/minecraft/MinecraftApplet","com/mojang/minecraft","0"
"idMap","idMap","a","Ljava/util/HashMap;","Ljava/util/HashMap;","com/mojang/minecraft/renderer/Textures","com/mojang/minecraft/a/a","com/mojang/minecraft/renderer","0"
"minecraft","minecraft","a","Lcom/mojang/minecraft/Minecraft;","Lcom/mojang/minecraft/d;","com/mojang/minecraft/level/LevelIO","com/mojang/minecraft/level/a","com/mojang/minecraft/level","0"
"frustum","frustum","b","Lcom/mojang/minecraft/renderer/Frustum;","Lcom/mojang/minecraft/a/d;","com/mojang/minecraft/renderer/Frustum","com/mojang/minecraft/a/d","com/mojang/minecraft/renderer","0"
"_clip","_clip","e","Ljava/nio/FloatBuffer;","Ljava/nio/FloatBuffer;","com/mojang/minecraft/renderer/Frustum","com/mojang/minecraft/a/d","com/mojang/minecraft/renderer","0"
"_modl","_modl","d","Ljava/nio/FloatBuffer;","Ljava/nio/FloatBuffer;","com/mojang/minecraft/renderer/Frustum","com/mojang/minecraft/a/d","com/mojang/minecraft/renderer","0"
"modl","modl","g","[F","[F","com/mojang/minecraft/renderer/Frustum","com/mojang/minecraft/a/d","com/mojang/minecraft/renderer","0"
"_proj","_proj","c","Ljava/nio/FloatBuffer;","Ljava/nio/FloatBuffer;","com/mojang/minecraft/renderer/Frustum","com/mojang/minecraft/a/d","com/mojang/minecraft/renderer","0"
"proj","proj","f","[F","[F","com/mojang/minecraft/renderer/Frustum","com/mojang/minecraft/a/d","com/mojang/minecraft/renderer","0"
"m_Frustum","m_Frustum","a","[[F","[[F","com/mojang/minecraft/renderer/Frustum","com/mojang/minecraft/a/d","com/mojang/minecraft/renderer","0"
"clip","clip","h","[F","[F","com/mojang/minecraft/renderer/Frustum","com/mojang/minecraft/a/d","com/mojang/minecraft/renderer","0"
"instance","instance","a","Lcom/mojang/minecraft/renderer/Tesselator;","Lcom/mojang/minecraft/a/c;","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/a/c","com/mojang/minecraft/renderer","0"
"noColor","noColor","n","Z","Z","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/a/c","com/mojang/minecraft/renderer","0"
"vertices","vertices","d","I","I","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/a/c","com/mojang/minecraft/renderer","0"
"buffer","buffer","b","Ljava/nio/FloatBuffer;","Ljava/nio/FloatBuffer;","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/a/c","com/mojang/minecraft/renderer","0"
"array","array","c","[F","[F","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/a/c","com/mojang/minecraft/renderer","0"
"u","u","e","F","F","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/a/c","com/mojang/minecraft/renderer","0"
"len","len","l","I","I","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/a/c","com/mojang/minecraft/renderer","0"
"b","b","i","F","F","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/a/c","com/mojang/minecraft/renderer","0"
"g","g","h","F","F","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/a/c","com/mojang/minecraft/renderer","0"
"r","r","g","F","F","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/a/c","com/mojang/minecraft/renderer","0"
"v","v","f","F","F","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/a/c","com/mojang/minecraft/renderer","0"
"p","p","m","I","I","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/a/c","com/mojang/minecraft/renderer","0"
"hasTexture","hasTexture","k","Z","Z","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/a/c","com/mojang/minecraft/renderer","0"
"hasColor","hasColor","j","Z","Z","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/a/c","com/mojang/minecraft/renderer","0"
"t","t","e","Lcom/mojang/minecraft/renderer/Tesselator;","Lcom/mojang/minecraft/a/c;","com/mojang/minecraft/renderer/Chunk","com/mojang/minecraft/a/f","com/mojang/minecraft/renderer","0"
"updates","updates","a","I","I","com/mojang/minecraft/renderer/Chunk","com/mojang/minecraft/a/f","com/mojang/minecraft/renderer","0"
"y0","y0","g","I","I","com/mojang/minecraft/renderer/Chunk","com/mojang/minecraft/a/f","com/mojang/minecraft/renderer","0"
"x0","x0","f","I","I","com/mojang/minecraft/renderer/Chunk","com/mojang/minecraft/a/f","com/mojang/minecraft/renderer","0"
"lists","lists","d","I","I","com/mojang/minecraft/renderer/Chunk","com/mojang/minecraft/a/f","com/mojang/minecraft/renderer","0"
"z1","z1","k","I","I","com/mojang/minecraft/renderer/Chunk","com/mojang/minecraft/a/f","com/mojang/minecraft/renderer","0"
"y1","y1","j","I","I","com/mojang/minecraft/renderer/Chunk","com/mojang/minecraft/a/f","com/mojang/minecraft/renderer","0"
"x1","x1","i","I","I","com/mojang/minecraft/renderer/Chunk","com/mojang/minecraft/a/f","com/mojang/minecraft/renderer","0"
"z0","z0","h","I","I","com/mojang/minecraft/renderer/Chunk","com/mojang/minecraft/a/f","com/mojang/minecraft/renderer","0"
"isInFrustum","isInFrustum","b","Z","Z","com/mojang/minecraft/renderer/Chunk","com/mojang/minecraft/a/f","com/mojang/minecraft/renderer","0"
"skipRenderPass","skipRenderPass","l","[Z","[Z","com/mojang/minecraft/renderer/Chunk","com/mojang/minecraft/a/f","com/mojang/minecraft/renderer","0"
"level","level","c","Lcom/mojang/minecraft/level/Level;","Lcom/mojang/minecraft/level/Level;","com/mojang/minecraft/renderer/Chunk","com/mojang/minecraft/a/f","com/mojang/minecraft/renderer","0"
"input","input","input","Lcom/mojang/minecraft/player/MovementInput;","Lcom/mojang/minecraft/player/a;","com/mojang/minecraft/player/Player","com/mojang/minecraft/player/Player","com/mojang/minecraft/player","0"
"player","player","a","Lcom/mojang/minecraft/player/Player;","Lcom/mojang/minecraft/player/Player;","com/mojang/minecraft/renderer/DistanceSorter","com/mojang/minecraft/a/e","com/mojang/minecraft/renderer","0"
"material","material","x","Lcom/mojang/minecraft/level/material/Material;","Lcom/mojang/minecraft/level/c/a;","com/mojang/minecraft/level/tile/LiquidTile","com/mojang/minecraft/level/a/i","com/mojang/minecraft/level/tile","0"
"tileId","tileId","z","I","I","com/mojang/minecraft/level/tile/LiquidTile","com/mojang/minecraft/level/a/i","com/mojang/minecraft/level/tile","0"
"calmTileId","calmTileId","y","I","I","com/mojang/minecraft/level/tile/LiquidTile","com/mojang/minecraft/level/a/i","com/mojang/minecraft/level/tile","0"
"removed","removed","removed","Z","Z","com/mojang/minecraft/Entity","com/mojang/minecraft/Entity","com/mojang/minecraft","0"
"z","z","z","F","F","com/mojang/minecraft/Entity","com/mojang/minecraft/Entity","com/mojang/minecraft","0"
"xo","xo","xo","F","F","com/mojang/minecraft/Entity","com/mojang/minecraft/Entity","com/mojang/minecraft","0"
"level","level","level","Lcom/mojang/minecraft/level/Level;","Lcom/mojang/minecraft/level/Level;","com/mojang/minecraft/Entity","com/mojang/minecraft/Entity","com/mojang/minecraft","0"
"yo","yo","yo","F","F","com/mojang/minecraft/Entity","com/mojang/minecraft/Entity","com/mojang/minecraft","0"
