"searge","name","notch","sig","notchsig","classname","classnotch","package","side"
"minecraft","minecraft","a","Lcom/mojang/minecraft/Minecraft;","Lcom/mojang/minecraft/c;","com/mojang/minecraft/level/levelgen/LevelGen","com/mojang/minecraft/a/b/a","com/mojang/minecraft/level/levelgen","0"
"levels","levels","b","I","I","com/mojang/minecraft/level/levelgen/synth/PerlinNoise","com/mojang/minecraft/a/b/a/b","com/mojang/minecraft/level/levelgen/synth","0"
"noiseLevels","noiseLevels","a","[Lcom/mojang/minecraft/level/levelgen/synth/ImprovedNoise;","[Lcom/mojang/minecraft/a/b/a/d;","com/mojang/minecraft/level/levelgen/synth/PerlinNoise","com/mojang/minecraft/a/b/a/b","com/mojang/minecraft/level/levelgen/synth","0"
"idMap","idMap","a","Ljava/util/HashMap;","Ljava/util/HashMap;","com/mojang/minecraft/renderer/Textures","com/mojang/minecraft/b/a","com/mojang/minecraft/renderer","0"
"thread","thread","b","Ljava/lang/Thread;","Ljava/lang/Thread;","com/mojang/minecraft/MinecraftApplet","com/mojang/minecraft/MinecraftApplet","com/mojang/minecraft","0"
"canvas","canvas","c","Ljava/awt/Canvas;","Ljava/awt/Canvas;","com/mojang/minecraft/MinecraftApplet","com/mojang/minecraft/MinecraftApplet","com/mojang/minecraft","0"
"minecraft","minecraft","a","Lcom/mojang/minecraft/Minecraft;","Lcom/mojang/minecraft/c;","com/mojang/minecraft/MinecraftApplet","com/mojang/minecraft/MinecraftApplet","com/mojang/minecraft","0"
"player","player","a","Lcom/mojang/minecraft/Player;","Lcom/mojang/minecraft/e;","com/mojang/minecraft/level/DirtyChunkSorter","com/mojang/minecraft/a/b","com/mojang/minecraft/level","0"
"minecraft","minecraft","a","Lcom/mojang/minecraft/Minecraft;","Lcom/mojang/minecraft/c;","com/mojang/minecraft/level/LevelIO","com/mojang/minecraft/a/a","com/mojang/minecraft/level","0"
"p","p","a","[I","[I","com/mojang/minecraft/level/levelgen/synth/ImprovedNoise","com/mojang/minecraft/a/b/a/d","com/mojang/minecraft/level/levelgen/synth","0"
"modl","modl","g","[F","[F","com/mojang/minecraft/renderer/Frustum","com/mojang/minecraft/b/c","com/mojang/minecraft/renderer","0"
"proj","proj","f","[F","[F","com/mojang/minecraft/renderer/Frustum","com/mojang/minecraft/b/c","com/mojang/minecraft/renderer","0"
"m_Frustum","m_Frustum","a","[[F","[[F","com/mojang/minecraft/renderer/Frustum","com/mojang/minecraft/b/c","com/mojang/minecraft/renderer","0"
"frustum","frustum","b","Lcom/mojang/minecraft/renderer/Frustum;","Lcom/mojang/minecraft/b/c;","com/mojang/minecraft/renderer/Frustum","com/mojang/minecraft/b/c","com/mojang/minecraft/renderer","0"
"_proj","_proj","c","Ljava/nio/FloatBuffer;","Ljava/nio/FloatBuffer;","com/mojang/minecraft/renderer/Frustum","com/mojang/minecraft/b/c","com/mojang/minecraft/renderer","0"
"_clip","_clip","e","Ljava/nio/FloatBuffer;","Ljava/nio/FloatBuffer;","com/mojang/minecraft/renderer/Frustum","com/mojang/minecraft/b/c","com/mojang/minecraft/renderer","0"
"clip","clip","h","[F","[F","com/mojang/minecraft/renderer/Frustum","com/mojang/minecraft/b/c","com/mojang/minecraft/renderer","0"
"_modl","_modl","d","Ljava/nio/FloatBuffer;","Ljava/nio/FloatBuffer;","com/mojang/minecraft/renderer/Frustum","com/mojang/minecraft/b/c","com/mojang/minecraft/renderer","0"
"textures","textures","b","Lcom/mojang/minecraft/renderer/Textures;","Lcom/mojang/minecraft/b/a;","com/mojang/minecraft/particle/ParticleEngine","com/mojang/minecraft/d/a","com/mojang/minecraft/particle","0"
"particles","particles","a","Ljava/util/List;","Ljava/util/List;","com/mojang/minecraft/particle/ParticleEngine","com/mojang/minecraft/d/a","com/mojang/minecraft/particle","0"
"player","player","a","Lcom/mojang/minecraft/Player;","Lcom/mojang/minecraft/e;","com/mojang/minecraft/level/DistanceSorter","com/mojang/minecraft/a/d","com/mojang/minecraft/level","0"
"h","h","d","I","I","com/mojang/minecraft/gui/Button","com/mojang/minecraft/c/b","com/mojang/minecraft/gui","0"
"w","w","c","I","I","com/mojang/minecraft/gui/Button","com/mojang/minecraft/c/b","com/mojang/minecraft/gui","0"
"y","y","b","I","I","com/mojang/minecraft/gui/Button","com/mojang/minecraft/c/b","com/mojang/minecraft/gui","0"
"x","x","a","I","I","com/mojang/minecraft/gui/Button","com/mojang/minecraft/c/b","com/mojang/minecraft/gui","0"
"msg","msg","e","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/gui/Button","com/mojang/minecraft/c/b","com/mojang/minecraft/gui","0"
"visible","visible","h","Z","Z","com/mojang/minecraft/gui/Button","com/mojang/minecraft/c/b","com/mojang/minecraft/gui","0"
"enabled","enabled","g","Z","Z","com/mojang/minecraft/gui/Button","com/mojang/minecraft/c/b","com/mojang/minecraft/gui","0"
"id","id","f","I","I","com/mojang/minecraft/gui/Button","com/mojang/minecraft/c/b","com/mojang/minecraft/gui","0"
"p","p","m","I","I","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/b/b","com/mojang/minecraft/renderer","0"
"hasTexture","hasTexture","k","Z","Z","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/b/b","com/mojang/minecraft/renderer","0"
"hasColor","hasColor","j","Z","Z","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/b/b","com/mojang/minecraft/renderer","0"
"array","array","c","[F","[F","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/b/b","com/mojang/minecraft/renderer","0"
"vertices","vertices","d","I","I","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/b/b","com/mojang/minecraft/renderer","0"
"noColor","noColor","n","Z","Z","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/b/b","com/mojang/minecraft/renderer","0"
"instance","instance","a","Lcom/mojang/minecraft/renderer/Tesselator;","Lcom/mojang/minecraft/b/b;","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/b/b","com/mojang/minecraft/renderer","0"
"r","r","g","F","F","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/b/b","com/mojang/minecraft/renderer","0"
"v","v","f","F","F","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/b/b","com/mojang/minecraft/renderer","0"
"len","len","l","I","I","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/b/b","com/mojang/minecraft/renderer","0"
"b","b","i","F","F","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/b/b","com/mojang/minecraft/renderer","0"
"buffer","buffer","b","Ljava/nio/FloatBuffer;","Ljava/nio/FloatBuffer;","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/b/b","com/mojang/minecraft/renderer","0"
"g","g","h","F","F","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/b/b","com/mojang/minecraft/renderer","0"
"u","u","e","F","F","com/mojang/minecraft/renderer/Tesselator","com/mojang/minecraft/b/b","com/mojang/minecraft/renderer","0"
"updates","updates","d","I","I","com/mojang/minecraft/level/Chunk","com/mojang/minecraft/a/c","com/mojang/minecraft/level","0"
"aabb","aabb","a","Lcom/mojang/minecraft/phys/AABB;","Lcom/mojang/minecraft/f/a;","com/mojang/minecraft/level/Chunk","com/mojang/minecraft/a/c","com/mojang/minecraft/level","0"
"z0","z0","h","I","I","com/mojang/minecraft/level/Chunk","com/mojang/minecraft/a/c","com/mojang/minecraft/level","0"
"x0","x0","f","I","I","com/mojang/minecraft/level/Chunk","com/mojang/minecraft/a/c","com/mojang/minecraft/level","0"
"level","level","e","Lcom/mojang/minecraft/level/Level;","Lcom/mojang/minecraft/a/f;","com/mojang/minecraft/level/Chunk","com/mojang/minecraft/a/c","com/mojang/minecraft/level","0"
"y1","y1","j","I","I","com/mojang/minecraft/level/Chunk","com/mojang/minecraft/a/c","com/mojang/minecraft/level","0"
"t","t","q","Lcom/mojang/minecraft/renderer/Tesselator;","Lcom/mojang/minecraft/b/b;","com/mojang/minecraft/level/Chunk","com/mojang/minecraft/a/c","com/mojang/minecraft/level","0"
"y","y","m","F","F","com/mojang/minecraft/level/Chunk","com/mojang/minecraft/a/c","com/mojang/minecraft/level","0"
"visible","visible","b","Z","Z","com/mojang/minecraft/level/Chunk","com/mojang/minecraft/a/c","com/mojang/minecraft/level","0"
"dirty","dirty","o","Z","Z","com/mojang/minecraft/level/Chunk","com/mojang/minecraft/a/c","com/mojang/minecraft/level","0"
"y0","y0","g","I","I","com/mojang/minecraft/level/Chunk","com/mojang/minecraft/a/c","com/mojang/minecraft/level","0"
"z1","z1","k","I","I","com/mojang/minecraft/level/Chunk","com/mojang/minecraft/a/c","com/mojang/minecraft/level","0"
"x1","x1","i","I","I","com/mojang/minecraft/level/Chunk","com/mojang/minecraft/a/c","com/mojang/minecraft/level","0"
"lists","lists","p","I","I","com/mojang/minecraft/level/Chunk","com/mojang/minecraft/a/c","com/mojang/minecraft/level","0"
"x","x","l","F","F","com/mojang/minecraft/level/Chunk","com/mojang/minecraft/a/c","com/mojang/minecraft/level","0"
"totalUpdates","totalUpdates","r","I","I","com/mojang/minecraft/level/Chunk","com/mojang/minecraft/a/c","com/mojang/minecraft/level","0"
"canRender","canRender","c","Z","Z","com/mojang/minecraft/level/Chunk","com/mojang/minecraft/a/c","com/mojang/minecraft/level","0"
"z","z","n","F","F","com/mojang/minecraft/level/Chunk","com/mojang/minecraft/a/c","com/mojang/minecraft/level","0"
"name","name","h","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/gui/NameLevelScreen","com/mojang/minecraft/c/a","com/mojang/minecraft/gui","0"
"title","title","f","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/gui/NameLevelScreen","com/mojang/minecraft/c/a","com/mojang/minecraft/gui","0"
"counter","counter","i","I","I","com/mojang/minecraft/gui/NameLevelScreen","com/mojang/minecraft/c/a","com/mojang/minecraft/gui","0"
"id","id","g","I","I","com/mojang/minecraft/gui/NameLevelScreen","com/mojang/minecraft/c/a","com/mojang/minecraft/gui","0"
"parent","parent","e","Lcom/mojang/minecraft/gui/Screen;","Lcom/mojang/minecraft/c/d;","com/mojang/minecraft/gui/NameLevelScreen","com/mojang/minecraft/c/a","com/mojang/minecraft/gui","0"
"y1","y1","e","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/f/a","com/mojang/minecraft/phys","0"
"z1","z1","f","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/f/a","com/mojang/minecraft/phys","0"
"epsilon","epsilon","g","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/f/a","com/mojang/minecraft/phys","0"
"x0","x0","a","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/f/a","com/mojang/minecraft/phys","0"
"y0","y0","b","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/f/a","com/mojang/minecraft/phys","0"
"z0","z0","c","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/f/a","com/mojang/minecraft/phys","0"
"x1","x1","d","F","F","com/mojang/minecraft/phys/AABB","com/mojang/minecraft/f/a","com/mojang/minecraft/phys","0"
"name","name","h","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/level/Level","com/mojang/minecraft/a/f","com/mojang/minecraft/level","0"
"depth","depth","c","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/a/f","com/mojang/minecraft/level","0"
"height","height","b","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/a/f","com/mojang/minecraft/level","0"
"width","width","a","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/a/f","com/mojang/minecraft/level","0"
"heightMap","heightMap","l","[I","[I","com/mojang/minecraft/level/Level","com/mojang/minecraft/a/f","com/mojang/minecraft/level","0"
"randValue","randValue","g","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/a/f","com/mojang/minecraft/level","0"
"blocks","blocks","d","[B","[B","com/mojang/minecraft/level/Level","com/mojang/minecraft/a/f","com/mojang/minecraft/level","0"
"unprocessed","unprocessed","k","I","I","com/mojang/minecraft/level/Level","com/mojang/minecraft/a/f","com/mojang/minecraft/level","0"
"createTime","createTime","j","J","J","com/mojang/minecraft/level/Level","com/mojang/minecraft/a/f","com/mojang/minecraft/level","0"
"levelListeners","levelListeners","e","Ljava/util/ArrayList;","Ljava/util/ArrayList;","com/mojang/minecraft/level/Level","com/mojang/minecraft/a/f","com/mojang/minecraft/level","0"
"creator","creator","i","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/level/Level","com/mojang/minecraft/a/f","com/mojang/minecraft/level","0"
"random","random","f","Ljava/util/Random;","Ljava/util/Random;","com/mojang/minecraft/level/Level","com/mojang/minecraft/a/f","com/mojang/minecraft/level","0"
"height","height","c","I","I","com/mojang/minecraft/gui/Screen","com/mojang/minecraft/c/d","com/mojang/minecraft/gui","0"
"width","width","b","I","I","com/mojang/minecraft/gui/Screen","com/mojang/minecraft/c/d","com/mojang/minecraft/gui","0"
"minecraft","minecraft","a","Lcom/mojang/minecraft/Minecraft;","Lcom/mojang/minecraft/c;","com/mojang/minecraft/gui/Screen","com/mojang/minecraft/c/d","com/mojang/minecraft/gui","0"
"buttons","buttons","d","Ljava/util/List;","Ljava/util/List;","com/mojang/minecraft/gui/Screen","com/mojang/minecraft/c/d","com/mojang/minecraft/gui","0"
"x","x","h","F","F","com/mojang/minecraft/character/Cube","com/mojang/minecraft/e/b","com/mojang/minecraft/character","0"
"list","list","l","I","I","com/mojang/minecraft/character/Cube","com/mojang/minecraft/e/b","com/mojang/minecraft/character","0"
"y","y","i","F","F","com/mojang/minecraft/character/Cube","com/mojang/minecraft/e/b","com/mojang/minecraft/character","0"
"z","z","j","F","F","com/mojang/minecraft/character/Cube","com/mojang/minecraft/e/b","com/mojang/minecraft/character","0"
"xTexOffs","xTexOffs","f","I","I","com/mojang/minecraft/character/Cube","com/mojang/minecraft/e/b","com/mojang/minecraft/character","0"
"zRot","zRot","c","F","F","com/mojang/minecraft/character/Cube","com/mojang/minecraft/e/b","com/mojang/minecraft/character","0"
"yTexOffs","yTexOffs","g","I","I","com/mojang/minecraft/character/Cube","com/mojang/minecraft/e/b","com/mojang/minecraft/character","0"
"xRot","xRot","a","F","F","com/mojang/minecraft/character/Cube","com/mojang/minecraft/e/b","com/mojang/minecraft/character","0"
"yRot","yRot","b","F","F","com/mojang/minecraft/character/Cube","com/mojang/minecraft/e/b","com/mojang/minecraft/character","0"
"compiled","compiled","k","Z","Z","com/mojang/minecraft/character/Cube","com/mojang/minecraft/e/b","com/mojang/minecraft/character","0"
"polygons","polygons","e","[Lcom/mojang/minecraft/character/Polygon;","[Lcom/mojang/minecraft/e/d;","com/mojang/minecraft/character/Cube","com/mojang/minecraft/e/b","com/mojang/minecraft/character","0"
"vertices","vertices","d","[Lcom/mojang/minecraft/character/Vertex;","[Lcom/mojang/minecraft/e/e;","com/mojang/minecraft/character/Cube","com/mojang/minecraft/e/b","com/mojang/minecraft/character","0"
"size","size","d","F","F","com/mojang/minecraft/particle/Particle","com/mojang/minecraft/d/b","com/mojang/minecraft/particle","0"
"lifetime","lifetime","z","I","I","com/mojang/minecraft/particle/Particle","com/mojang/minecraft/d/b","com/mojang/minecraft/particle","0"
"yd","yd","w","F","F","com/mojang/minecraft/particle/Particle","com/mojang/minecraft/d/b","com/mojang/minecraft/particle","0"
"age","age","y","I","I","com/mojang/minecraft/particle/Particle","com/mojang/minecraft/d/b","com/mojang/minecraft/particle","0"
"xd","xd","v","F","F","com/mojang/minecraft/particle/Particle","com/mojang/minecraft/d/b","com/mojang/minecraft/particle","0"
"zd","zd","x","F","F","com/mojang/minecraft/particle/Particle","com/mojang/minecraft/d/b","com/mojang/minecraft/particle","0"
"tex","tex","a","I","I","com/mojang/minecraft/particle/Particle","com/mojang/minecraft/d/b","com/mojang/minecraft/particle","0"
"vo","vo","c","F","F","com/mojang/minecraft/particle/Particle","com/mojang/minecraft/d/b","com/mojang/minecraft/particle","0"
"uo","uo","b","F","F","com/mojang/minecraft/particle/Particle","com/mojang/minecraft/d/b","com/mojang/minecraft/particle","0"
"level","level","a","Lcom/mojang/minecraft/level/Level;","Lcom/mojang/minecraft/a/f;","com/mojang/minecraft/level/LevelRenderer","com/mojang/minecraft/a/e","com/mojang/minecraft/level","0"
"xChunks","xChunks","f","I","I","com/mojang/minecraft/level/LevelRenderer","com/mojang/minecraft/a/e","com/mojang/minecraft/level","0"
"textures","textures","i","Lcom/mojang/minecraft/renderer/Textures;","Lcom/mojang/minecraft/b/a;","com/mojang/minecraft/level/LevelRenderer","com/mojang/minecraft/a/e","com/mojang/minecraft/level","0"
"drawDistance","drawDistance","d","I","I","com/mojang/minecraft/level/LevelRenderer","com/mojang/minecraft/a/e","com/mojang/minecraft/level","0"
"dummyBuffer","dummyBuffer","j","Ljava/nio/IntBuffer;","Ljava/nio/IntBuffer;","com/mojang/minecraft/level/LevelRenderer","com/mojang/minecraft/a/e","com/mojang/minecraft/level","0"
"surroundLists","surroundLists","c","I","I","com/mojang/minecraft/level/LevelRenderer","com/mojang/minecraft/a/e","com/mojang/minecraft/level","0"
"zChunks","zChunks","h","I","I","com/mojang/minecraft/level/LevelRenderer","com/mojang/minecraft/a/e","com/mojang/minecraft/level","0"
"yChunks","yChunks","g","I","I","com/mojang/minecraft/level/LevelRenderer","com/mojang/minecraft/a/e","com/mojang/minecraft/level","0"
"lX","lX","k","F","F","com/mojang/minecraft/level/LevelRenderer","com/mojang/minecraft/a/e","com/mojang/minecraft/level","0"
"lZ","lZ","m","F","F","com/mojang/minecraft/level/LevelRenderer","com/mojang/minecraft/a/e","com/mojang/minecraft/level","0"
"lY","lY","l","F","F","com/mojang/minecraft/level/LevelRenderer","com/mojang/minecraft/a/e","com/mojang/minecraft/level","0"
"chunks","chunks","b","[Lcom/mojang/minecraft/level/Chunk;","[Lcom/mojang/minecraft/a/c;","com/mojang/minecraft/level/LevelRenderer","com/mojang/minecraft/a/e","com/mojang/minecraft/level","0"
"sortedChunks","sortedChunks","e","[Lcom/mojang/minecraft/level/Chunk;","[Lcom/mojang/minecraft/a/c;","com/mojang/minecraft/level/LevelRenderer","com/mojang/minecraft/a/e","com/mojang/minecraft/level","0"
"zombieModel","zombieModel","v","Lcom/mojang/minecraft/character/ZombieModel;","Lcom/mojang/minecraft/e/c;","com/mojang/minecraft/character/Zombie","com/mojang/minecraft/e/a","com/mojang/minecraft/character","0"
"rotA","rotA","d","F","F","com/mojang/minecraft/character/Zombie","com/mojang/minecraft/e/a","com/mojang/minecraft/character","0"
"timeOffs","timeOffs","b","F","F","com/mojang/minecraft/character/Zombie","com/mojang/minecraft/e/a","com/mojang/minecraft/character","0"
"speed","speed","c","F","F","com/mojang/minecraft/character/Zombie","com/mojang/minecraft/e/a","com/mojang/minecraft/character","0"
"textures","textures","w","Lcom/mojang/minecraft/renderer/Textures;","Lcom/mojang/minecraft/b/a;","com/mojang/minecraft/character/Zombie","com/mojang/minecraft/e/a","com/mojang/minecraft/character","0"
"rot","rot","a","F","F","com/mojang/minecraft/character/Zombie","com/mojang/minecraft/e/a","com/mojang/minecraft/character","0"
"vertices","vertices","a","[Lcom/mojang/minecraft/character/Vertex;","[Lcom/mojang/minecraft/e/e;","com/mojang/minecraft/character/Polygon","com/mojang/minecraft/e/d","com/mojang/minecraft/character","0"
"parent","parent","f","Lcom/mojang/minecraft/gui/Screen;","Lcom/mojang/minecraft/c/d;","com/mojang/minecraft/gui/LoadLevelScreen","com/mojang/minecraft/c/e","com/mojang/minecraft/gui","0"
"loaded","loaded","h","Z","Z","com/mojang/minecraft/gui/LoadLevelScreen","com/mojang/minecraft/c/e","com/mojang/minecraft/gui","0"
"finished","finished","g","Z","Z","com/mojang/minecraft/gui/LoadLevelScreen","com/mojang/minecraft/c/e","com/mojang/minecraft/gui","0"
"status","status","j","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/gui/LoadLevelScreen","com/mojang/minecraft/c/e","com/mojang/minecraft/gui","0"
"levels","levels","i","[Ljava/lang/String;","[Ljava/lang/String;","com/mojang/minecraft/gui/LoadLevelScreen","com/mojang/minecraft/c/e","com/mojang/minecraft/gui","0"
"title","title","e","Ljava/lang/String;","Ljava/lang/String;","com/mojang/minecraft/gui/LoadLevelScreen","com/mojang/minecraft/c/e","com/mojang/minecraft/gui","0"
"heightOffset","heightOffset","t","F","F","com/mojang/minecraft/Entity","com/mojang/minecraft/g","com/mojang/minecraft","0"
"yd","yd","l","F","F","com/mojang/minecraft/Entity","com/mojang/minecraft/g","com/mojang/minecraft","0"
"yRot","yRot","n","F","F","com/mojang/minecraft/Entity","com/mojang/minecraft/g","com/mojang/minecraft","0"
"x","x","h","F","F","com/mojang/minecraft/Entity","com/mojang/minecraft/g","com/mojang/minecraft","0"
"z","z","j","F","F","com/mojang/minecraft/Entity","com/mojang/minecraft/g","com/mojang/minecraft","0"
"yo","yo","f","F","F","com/mojang/minecraft/Entity","com/mojang/minecraft/g","com/mojang/minecraft","0"
"bbWidth","bbWidth","b","F","F","com/mojang/minecraft/Entity","com/mojang/minecraft/g","com/mojang/minecraft","0"
"level","level","a","Lcom/mojang/minecraft/level/Level;","Lcom/mojang/minecraft/a/f;","com/mojang/minecraft/Entity","com/mojang/minecraft/g","com/mojang/minecraft","0"
"horizontalCollision","horizontalCollision","r","Z","Z","com/mojang/minecraft/Entity","com/mojang/minecraft/g","com/mojang/minecraft","0"
"bbHeight","bbHeight","u","F","F","com/mojang/minecraft/Entity","com/mojang/minecraft/g","com/mojang/minecraft","0"
"bb","bb","p","Lcom/mojang/minecraft/phys/AABB;","Lcom/mojang/minecraft/f/a;","com/mojang/minecraft/Entity","com/mojang/minecraft/g","com/mojang/minecraft","0"
"zd","zd","m","F","F","com/mojang/minecraft/Entity","com/mojang/minecraft/g","com/mojang/minecraft","0"
"xRot","xRot","o","F","F","com/mojang/minecraft/Entity","com/mojang/minecraft/g","com/mojang/minecraft","0"
"y","y","i","F","F","com/mojang/minecraft/Entity","com/mojang/minecraft/g","com/mojang/minecraft","0"
"xd","xd","k","F","F","com/mojang/minecraft/Entity","com/mojang/minecraft/g","com/mojang/minecraft","0"
"xo","xo","e","F","F","com/mojang/minecraft/Entity","com/mojang/minecraft/g","com/mojang/minecraft","0"
"zo","zo","g","F","F","com/mojang/minecraft/Entity","com/mojang/minecraft/g","com/mojang/minecraft","0"
"onGround","onGround","q","Z","Z","com/mojang/minecraft/Entity","com/mojang/minecraft/g","com/mojang/minecraft","0"
"removed","removed","s","Z","Z","com/mojang/minecraft/Entity","com/mojang/minecraft/g","com/mojang/minecraft","0"
"head","head","a","Lcom/mojang/minecraft/character/Cube;","Lcom/mojang/minecraft/e/b;","com/mojang/minecraft/character/ZombieModel","com/mojang/minecraft/e/c","com/mojang/minecraft/character","0"
